id,transcript,intent,service_type,urgency_level
0,i need a plumber at home,CreateServiceRequest,plumber,low
1,my water pipe is leaking,CreateServiceRequest,plumber,medium
2,the kitchen sink is blocked,CreateServiceRequest,plumber,medium
3,there is water leak in the bathroom,CreateServiceRequest,plumber,medium
4,the tap is not working properly,CreateServiceRequest,plumber,low
5,i need someone to fix a broke pipe,CreateServiceRequest,plumber,medium
6,water is not flowing in the bathroom,CreateServiceRequest,plumber,low
7,my water line is damaged,CreateServiceRequest,plumber,medium
8,the toilet is clogged,CreateServiceRequest,plumber,medium
9,i need emergency plumbing help,CreateServiceRequest,plumber,high
10,i need a plumber at home immediately,CreateServiceRequest,plumber,high
11,"my water line is damaged, i need to fix it immediately",CreateServiceRequest,plumber,high
12,the toilet is clogged. need to fix it as soon as possible,CreateServiceRequest,plumber,high
13,a water pipe at home has burst. i need to get it fixed quickly.,CreateServiceRequest,plumber,high
14,please connect me with a plumber as soon as possible.,CreateServiceRequest,plumber,high
15,a pipe in my bathroom is blocked. i need to get it fixed right away. i need a plumber as soon as possible.,CreateServiceRequest,plumber,high
16,please connect me with a water technician as soon as possible.,CreateServiceRequest,plumber,high
17,my water tank has become dirty. please connect me with a water technician quickly.,CreateServiceRequest,plumber,high
18,water technician is needed,CreateServiceRequest,plumber,low
19,water technician is needed immediately,CreateServiceRequest,plumber,high
20,i need a plumber to repair a leaking tap,CreateServiceRequest,plumber,medium
21,please send a plumber to my house,CreateServiceRequest,plumber,medium
22,my bathroom tap is leaking,CreateServiceRequest,plumber,medium
23,the kitchen tap keeps dripping,CreateServiceRequest,plumber,low
24,there is a leak under my kitchen sink,CreateServiceRequest,plumber,medium
25,water is leaking from the ceiling,CreateServiceRequest,plumber,high
26,my water tank is overflowing,CreateServiceRequest,plumber,high
27,the water pipe outside my house is leaking,CreateServiceRequest,plumber,medium
28,the shower is not working,CreateServiceRequest,plumber,low
29,my shower has stopped working suddenly,CreateServiceRequest,plumber,medium
30,the bathroom drain is blocked,CreateServiceRequest,plumber,medium
31,water is backing up from the drain,CreateServiceRequest,plumber,high
32,my sink won't drain,CreateServiceRequest,plumber,medium
33,the toilet keeps overflowing,CreateServiceRequest,plumber,high
34,the flush is not working,CreateServiceRequest,plumber,medium
35,the toilet is leaking from the bottom,CreateServiceRequest,plumber,high
36,there is no water coming from the tap,CreateServiceRequest,plumber,medium
37,my bathroom pipe has burst,CreateServiceRequest,plumber,high
38,the water pressure is very low,CreateServiceRequest,plumber,low
39,the kitchen pipe is damaged,CreateServiceRequest,plumber,medium
40,a pipe has cracked in my house,CreateServiceRequest,plumber,high
41,i think there is a hidden water leak,CreateServiceRequest,plumber,medium
42,i can hear water leaking inside the wall,CreateServiceRequest,plumber,high
43,my washing machine water pipe is leaking,CreateServiceRequest,plumber,medium
44,the pipe connected to the sink is broken,CreateServiceRequest,plumber,medium
45,the outdoor tap is broken,CreateServiceRequest,plumber,low
46,i need someone to repair my water line,CreateServiceRequest,plumber,medium
47,my bathroom faucet needs repair,CreateServiceRequest,plumber,low
48,the tap won't close properly,CreateServiceRequest,plumber,low
49,the sink is overflowing with water,CreateServiceRequest,plumber,high
