id,transcript,intent,service_type,urgency_level
0,i need a plumber at home,request_service,plumber,low
1,my water pipe is leaking,report_issue,plumber,medium
2,the kitchen sink is blocked,report_issue,plumber,medium
3,there is water leak in the bathroom,report_issue,plumber,medium
4,the tap is not working properly,report_issue,plumber,low
5,i need someone to fix a broke pipe,request_service,plumber,medium
6,water is not flowing in the bathroom,report_issue,plumber,low
7,my water line is damaged,report_issue,plumber,medium
8,the toilet is clogged,report_issue,plumber,medium
9,i need emergency plumbing help,request_service,plumber,high
10,i need a plumber at home immediately,request_service,plumber,high
11,"my water line is damaged, i need to fix it immediately",request_service,plumber,high
12,the toilet is clogged. need to fix it as soon as possible,report_issue,plumber,high
13,a water pipe at home has burst. i need to get it fixed quickly.,request_service,plumber,high
14,please connect me with a plumber as soon as possible.,report_issue,plumber,high
15,a pipe in my bathroom is blocked. i need to get it fixed right away. i need a plumber as soon as possible.,request_service,plumber,high
16,please connect me with a water technician as soon as possible.,report_issue,plumber,high
17,my water tank has become dirty. please connect me with a water technician quickly.,report_issue,plumber,high
18,water technician is needed ,report_issue,plumber,low
19,water technician is needed imediatly ,report_issue,plumber,high
20,i need a plumber to repair a leaking tap,request_service,plumber,medium
21,please send a plumber to my house,request_service,plumber,medium
22,my bathroom tap is leaking,report_issue,plumber,medium
23,the kitchen tap keeps dripping,report_issue,plumber,low
24,there is a leak under my kitchen sink,report_issue,plumber,medium
25,water is leaking from the ceiling,report_issue,plumber,high
26,my water tank is overflowing,report_issue,plumber,high
27,the water pipe outside my house is leaking,report_issue,plumber,medium
28,the shower is not working,report_issue,plumber,low
29,my shower has stopped working suddenly,report_issue,plumber,medium
30,the bathroom drain is blocked,report_issue,plumber,medium
31,water is backing up from the drain,report_issue,plumber,high
32,my sink won't drain,report_issue,plumber,medium
33,the toilet keeps overflowing,report_issue,plumber,high
34,the flush is not working,report_issue,plumber,medium
35,the toilet is leaking from the bottom,report_issue,plumber,high
36,there is no water coming from the tap,report_issue,plumber,medium
37,my bathroom pipe has burst,report_issue,plumber,high
38,the water pressure is very low,report_issue,plumber,low
39,the kitchen pipe is damaged,report_issue,plumber,medium
40,a pipe has cracked in my house,report_issue,plumber,high
41,i think there is a hidden water leak,report_issue,plumber,medium
42,i can hear water leaking inside the wall,report_issue,plumber,high
43,my washing machine water pipe is leaking,report_issue,plumber,medium
44,the pipe connected to the sink is broken,report_issue,plumber,medium
45,the outdoor tap is broken,report_issue,plumber,low
46,i need someone to repair my water line,request_service,plumber,medium
47,my bathroom faucet needs repair,report_issue,plumber,low
48,the tap won't close properly,report_issue,plumber,low
49,the sink is overflowing with water,report_issue,plumber,high
50,the kitchen drain is completely blocked,report_issue,plumber,high
51,dirty water is coming back through the drain,report_issue,plumber,high
52,i have a plumbing problem in my house,report_issue,plumber,medium
53,i need plumbing service today,request_service,plumber,medium
54,can you arrange a plumber for me,request_service,plumber,low
55,i need a water technician to inspect the pipes,request_service,plumber,low
56,please send someone to fix my plumbing issue,request_service,plumber,medium
57,my plumbing system needs repair,report_issue,plumber,medium
58,there is a major water leak in my house,report_issue,plumber,high
59,water is flooding my bathroom,report_issue,plumber,high
60,my kitchen is flooded because of a broken pipe,report_issue,plumber,high
61,the water meter pipe is leaking,report_issue,plumber,medium
62,my home's main water pipe is damaged,report_issue,plumber,high
63,i need plumbing assistance immediately,request_service,plumber,high
54,please send a plumber as quickly as possible,request_service,plumber,high
65,i have an urgent plumbing issue,report_issue,plumber,high
66,water is leaking everywhere,report_issue,plumber,high
67,the pipe under my bathroom sink has broken,report_issue,plumber,high
68,i need someone to stop the water leak,request_service,plumber,high
69,my plumbing emergency needs immediate attention,report_issue,plumber,high
70,i need a plumber to fix my bathroom sink,request_service,plumber,medium
71,the water tap is broken,report_issue,plumber,low
72,my kitchen faucet is leaking badly,report_issue,plumber,medium
73,i have a leaking water pipe in my garden,report_issue,plumber,medium
74,the bathroom sink is clogged,report_issue,plumber,medium
75,i need someone to repair my toilet,request_service,plumber,medium
76,my toilet will not flush,report_issue,plumber,medium
77,the water pipe has started leaking suddenly,report_issue,plumber,high
78,my bathroom floor is flooded,report_issue,plumber,high
79,there is water leaking near the water meter,report_issue,plumber,medium
80,my shower pipe is leaking,report_issue,plumber,medium
81,i need a plumber for a blocked drain,request_service,plumber,medium
82,the kitchen drain smells bad and is blocked,report_issue,plumber,medium
83,my bathroom tap will not turn off,report_issue,plumber,high
84,i found a leak under the bathroom sink,report_issue,plumber,medium
85,water is dripping from the pipe joint,report_issue,plumber,low
86,the hot water pipe is leaking,report_issue,plumber,medium
87,i need emergency plumbing service at my house,request_service,plumber,high
88,the main water valve is leaking,report_issue,plumber,high
89,i need someone to replace a damaged pipe,request_service,plumber,medium
90,the sink pipe has come loose,report_issue,plumber,medium
91,my water supply pipe is broken,report_issue,plumber,high
92,i need a plumber to inspect a water leak,request_service,plumber,medium
93,my bathroom has a serious plumbing issue,report_issue,plumber,high
94,water is collecting on my kitchen floor because of a leak,report_issue,plumber,high
95,i need a plumber before the leak gets worse,request_service,plumber,high
96,my drain is overflowing after using the sink,report_issue,plumber,high
97,there is a small leak in my kitchen pipe,report_issue,plumber,low
98,i need help fixing a leaking toilet,request_service,plumber,medium
99,my plumbing problem needs to be fixed today,report_issue,plumber,high
100,i need an electrician at my house,request_service,electrician,medium
101,please send an electrician,request_service,electrician,medium
102,i need an electrician to fix a power issue,request_service,electrician,medium
103,the lights are not working,report_issue,electrician,medium
104,there is no electricity in my house,report_issue,electrician,high
105,my power has gone out suddenly,report_issue,electrician,high
106,the circuit breaker keeps tripping,report_issue,electrician,medium
107,my electrical panel needs repair,report_issue,electrician,medium
108,i have a wiring problem,report_issue,electrician,medium
109,there is a burning smell from an electrical outlet,report_issue,electrician,high
110,sparks are coming from the power socket,emergency_request,electrician,high
111,one of my switches is not working,report_issue,electrician,low
112,the ceiling fan is not working,report_issue,electrician,low
113,i need someone to repair my electrical wiring,request_service,electrician,medium
114,my lights keep flickering,report_issue,electrician,medium
115,the power outlet is damaged,report_issue,electrician,medium
116,the wall socket is broken,report_issue,electrician,low
117,i need an electrician to replace a switch,request_service,electrician,low
118,my electrical system needs inspection,report_issue,electrician,low
119,there is a short circuit in my house,report_issue,electrician,high
120,the fuse keeps blowing,report_issue,electrician,medium
121,i think there is an electrical fault,report_issue,electrician,medium
122,the main power switch is not working,report_issue,electrician,high
123,my breaker box is making strange noises,report_issue,electrician,high
124,the light switch is broken,report_issue,electrician,low
125,my room has no electricity,report_issue,electrician,medium
126,the kitchen power outlets are not working,report_issue,electrician,medium
127,i need emergency electrical service,request_service,electrician,high
128,there is smoke coming from an electrical socket,emergency_request,electrician,high
129,my house has an electrical emergency,report_issue,electrician,high
130,i need someone to fix the power supply,request_service,electrician,medium
131,the electrical wiring is damaged,report_issue,electrician,high
132,i need an electrician immediately,request_service,electrician,high
133,my air conditioner is not getting power,report_issue,electrician,medium
134,my water heater is not receiving electricity,report_issue,electrician,medium
135,the electrical outlet is overheating,report_issue,electrician,high
136,my doorbell is not working,report_issue,electrician,low
137,i need a new electrical outlet installed,request_service,electrician,low
138,the garage has no electricity,report_issue,electrician,medium
139,i need someone to repair my fuse box,request_service,electrician,medium
140,the electrical meter is making unusual sounds,report_issue,electrician,high
141,i lost power in one part of the house,report_issue,electrician,medium
142,my living room lights will not turn on,report_issue,electrician,medium
143,i need help with an electrical problem,request_service,electrician,medium
144,the power keeps turning on and off,report_issue,electrician,high
145,the switchboard needs repair,report_issue,electrician,medium
146,i think the wiring is unsafe,report_issue,electrician,high
147,my electrical connections need repair,report_issue,electrician,medium
148,please send an electrician as soon as possible,request_service,electrician,high
149,i need urgent electrical assistance,request_service,electrician,high
150,i need an electrician to repair my ceiling light,request_service,electrician,low
151,the hallway lights are not turning on,report_issue,electrician,medium
152,my bedroom has no power,report_issue,electrician,medium
153,i need someone to fix my electrical socket,request_service,electrician,medium
154,the power outlet stopped working,report_issue,electrician,medium
155,my light bulb keeps burning out,report_issue,electrician,low
156,the fuse box is overheating,report_issue,electrician,high
157,i smell something burning near the switchboard,report_issue,electrician,high
158,my electrical wires are exposed,report_issue,electrician,high
159,i need an electrician to inspect my home wiring,request_service,electrician,low
160,my electricity keeps cutting off,report_issue,electrician,high
161,the main circuit breaker will not reset,report_issue,electrician,high
162,one side of my house has no electricity,report_issue,electrician,medium
163,i need to repair a damaged power cable,request_service,electrician,medium
164,the outdoor lights are not working,report_issue,electrician,low
165,my security lights have stopped working,report_issue,electrician,low
166,the electrical switch sparks when i use it,emergency_request,electrician,high
167,my power socket is making a buzzing sound,report_issue,electrician,high
168,the lights become dim when i use appliances,report_issue,electrician,medium
169,my electrical panel is making clicking sounds,report_issue,electrician,high
170,i need an electrician to install a new switch,request_service,electrician,low
171,my kitchen lights suddenly went off,report_issue,electrician,medium
172,i need someone to repair my light fixtures,request_service,electrician,low
173,my power outlets are loose,report_issue,electrician,medium
174,there is an electrical issue in my office,report_issue,electrician,medium
175,i need urgent help with a power failure,request_service,electrician,high
176,the electricity keeps fluctuating,report_issue,electrician,medium
177,my generator is not supplying electricity properly,report_issue,electrician,medium
178,i think my electrical panel is faulty,report_issue,electrician,high
179,i lost electricity after the rain,report_issue,electrician,high
180,i need electrical repairs before tonight,request_service,electrician,high
181,my home's wiring needs replacement,report_issue,electrician,high
182,the extension socket is not working,report_issue,electrician,low
183,my garage lights keep flickering,report_issue,electrician,medium
184,i need an electrician to fix an electrical leak,request_service,electrician,high
185,there is a problem with my power distribution,report_issue,electrician,medium
186,i cannot turn on the lights in my kitchen,report_issue,electrician,medium
187,i need an electrician for a complete electrical inspection,request_service,electrician,low
188,my home has voltage issues,report_issue,electrician,medium
189,the electrical connection to my water pump is faulty,report_issue,electrician,medium
