transcript,intent,urgency
school pickup taxi,taxi,normal
book police service Colombo tomorrow,police,normal
harassment complaint,police,normal
nal plumber venum near me,plumber,normal
plumber emergency Colombo now,plumber,high
fan not working electrician,electrician,normal
water problem house,plumber,normal
car battery dead,mechanic,normal
bathroom issue plumber near me,plumber,normal
cab ekak ikmanata one near me,taxi,high
need hospital service in Kandy today,hospital,moderate
need police service in Maharagama today,police,moderate
room clean karanna,cleaning,normal
taxi near me,taxi,normal
deep cleaning service near me,cleaning,normal
home cleaning tomorrow sri lanka,cleaning,normal
electrician emergency Negombo now,electrician,high
book fire service Jaffna tomorrow,fire,normal
accident ikmanata hospital,hospital,high
brake problem near me,mechanic,normal
bike mechanic venum near me,mechanic,normal
voltage issue help sri lanka,electrician,high
ride needed now sri lanka,taxi,high
book electrician service Jaffna tomorrow,electrician,normal
light ekak hadanna,electrician,normal
need cleaning service in Negombo today,cleaning,moderate
thief came now sri lanka,police,high
need fire service in Galle today,fire,moderate
drainage blocked service near me,plumber,normal
book plumber service Galle tomorrow,plumber,normal
book mechanic service Negombo tomorrow,mechanic,normal
electrician near me sri lanka,electrician,normal
toilet block repair,plumber,normal
doctor please fast,hospital,high
vehicle to hospital near me,taxi,normal
cleaning service one sri lanka,cleaning,normal
thief catch help near me,police,high
colombo yanna car,taxi,normal
need hospital service in Negombo today,hospital,moderate
need cleaning service in Colombo today,cleaning,moderate
plumber emergency Jaffna now,plumber,high
fire emergency Galle now,fire,high
cleaner near me near me,cleaning,normal
carpet cleaning near me,cleaning,normal
bike mechanic venum,mechanic,normal
gas leak fire brigade sri lanka,fire,normal
security issue sri lanka,police,normal
garage support now sri lanka,mechanic,high
book mechanic service Maharagama tomorrow,mechanic,normal
house clean karanna kenek,cleaning,normal
cleaning service one,cleaning,normal
cleaning emergency Jaffna now,cleaning,high
hospital emergency Galle now,hospital,high
switch board smoke,electrician,normal
doctor kenek ikmanata one sri lanka,hospital,high
need plumber service in Maharagama today,plumber,moderate
threewheel repair sri lanka,mechanic,normal
traffic police needed near me,police,normal
pipe... leak... water... urgent,plumber,high
book fire service Kandy tomorrow,fire,normal
hire ekak call karanna,taxi,normal
police emergency Colombo now,police,high
cylinder leak urgent,fire,high
cleaner near me sri lanka,cleaning,normal
mechanic emergency Kandy now,mechanic,high
nal plumber venum sri lanka,plumber,normal
doctor please fast sri lanka,hospital,high
book cleaning service Negombo tomorrow,cleaning,normal
book mechanic service Kandy tomorrow,mechanic,normal
threewheel repair,mechanic,normal
car battery dead near me,mechanic,normal
fan not working electrician near me,electrician,normal
electrician emergency Kandy now,electrician,high
house clean karanna kenek near me,cleaning,normal
car breakdown mechanic one near me,mechanic,normal
doctor kenek ikmanata one near me,hospital,high
sink block wela near me,plumber,normal
vehicle to hospital sri lanka,taxi,normal
hospital yanna ona sri lanka,hospital,normal
need electrician service in Maharagama today,electrician,moderate
bike start wenne na,mechanic,normal
fire service now near me,fire,high
kitchen fire near me,fire,normal
book taxi service Colombo tomorrow,taxi,normal
robbery happening sri lanka,police,normal
lost child police sri lanka,police,normal
book hospital service Jaffna tomorrow,hospital,normal
taxi near me sri lanka,taxi,normal
wire sparking urgent,electrician,high
sick person help near me,hospital,high
electrician near me,electrician,normal
thief catch help,police,high
fire emergency Negombo now,fire,high
hospital yanna ona near me,hospital,normal
current... spark... danger,electrician,high
book taxi service Negombo tomorrow,taxi,normal
need electrician service in Galle today,electrician,moderate
book electrician service Colombo tomorrow,electrician,normal
traffic police needed,police,normal
wire sparking urgent near me,electrician,high
hospital yanna ona,hospital,normal
fire emergency Kandy now,fire,high
vehicle to hospital,taxi,normal
light ekak hadanna near me,electrician,normal
leak leak kitchen near me,plumber,normal
cab... airport... now,taxi,high
book hospital service Negombo tomorrow,hospital,normal
nal plumber venum,plumber,normal
fire emergency Maharagama now,fire,high
taxi emergency Colombo now,taxi,high
cleaning emergency Galle now,cleaning,high
dangerous person near me,police,high
book plumber service Colombo tomorrow,plumber,normal
need mechanic service in Kandy today,mechanic,moderate
police station number sri lanka,police,normal
pipe leak wenawa plumber one near me,plumber,normal
bathroom issue plumber,plumber,normal
book cleaning service Maharagama tomorrow,cleaning,normal
book cleaning service Colombo tomorrow,cleaning,normal
book fire service Colombo tomorrow,fire,normal
thief... police... help,police,high
thief came now,police,high
school pickup taxi sri lanka,taxi,normal
harassment complaint near me,police,normal
garden cleaning near me near me,cleaning,normal
washroom cleaning near me,cleaning,normal
car fire road near me,fire,normal
mechanic emergency Jaffna now,mechanic,high
vehicle stopped road side near me,mechanic,normal
garage support now,mechanic,high
fire brigade call,fire,normal
electrician emergency Colombo now,electrician,high
cylinder leak urgent near me,fire,high
sick person help sri lanka,hospital,high
power cut in house near me,electrician,normal
wire sparking urgent sri lanka,electrician,high
medicine ganna place langama sri lanka,hospital,normal
pipe leak wenawa plumber one sri lanka,plumber,normal
nearby clinic emergency sri lanka,hospital,high
airport yanna cab sri lanka,taxi,normal
bathroom issue plumber sri lanka,plumber,normal
podi accident hospital near me,hospital,normal
office cleaning needed near me,cleaning,normal
emergency police please near me,police,high
cab ekak ikmanata one sri lanka,taxi,high
need plumber service in Colombo today,plumber,moderate
maruthuvamanai venum urgent near me,hospital,high
mechanic emergency Negombo now,mechanic,high
water line burst urgent sri lanka,plumber,high
thief catch help sri lanka,police,high
current na electrician one sri lanka,electrician,normal
plumber ayya urgent,plumber,high
